Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY
15;100n;C-USC0603;C0603;C1, C2, C3, C5, C8, C11, C18, C20, C22, C23, C25, C37, C45, C46, C47;CAPACITOR, American symbol;;;;;
3;4.7n;C-USC0603;C0603;C10, C38, C48;CAPACITOR, American symbol;;;;;
1;470n;C-USC0603;C0603;C13;CAPACITOR, American symbol;;;;;
4;100p;C-USC0603;C0603;C14, C29, C31, C42;CAPACITOR, American symbol;;;;;
2;22u;CPOL-USC;PANASONIC_C;C15, C16;POLARIZED CAPACITOR, American symbol;;;;;
2;10u;CPOL-USC;PANASONIC_C;C19, C21;POLARIZED CAPACITOR, American symbol;;;;;
1;10u;CPOL-USA;PANASONIC_A;C26;POLARIZED CAPACITOR, American symbol;;;;;
1;22u;C-USC1206;C1206;C27;CAPACITOR, American symbol;;;;;
3;1n;C-USC0603;C0603;C4, C7, C40;CAPACITOR, American symbol;;;;;
8;ESD;C-USC0603;C0603;C6, C9, C12, C30, C32, C53, C59, C60;CAPACITOR, American symbol;;;;;
1;BAT54S;DIODE_2CACA-SOT23;SOT23;D1;2 Diodes - Cathode-Anode|Cathode-Anode;;;;;
2;1N5819HW;DIODE-SOD123;SOD123;D3, D4;DIODE;;;;;
1;MCP6004;TL074D;SO14;IC1;OP AMP;;;;;
1;MCP6002;TL072D;SO08;IC2;OP AMP;;;;;
2;TL072D;TL072D;SO08;IC3, IC6;OP AMP;;;;;
1;LM4040B10;LM4041B12DBZ;DBZ_R-PDSO-G3;IC4;PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE;;;;;
1;LD2981ABU33;LD2981ABU;SOT89;IC5;;;;;;
1;LM1117MP-5.0;LM1117MP-5.0;SOT223;IC7;800mA Low-Dropout Linear Regulator;Texas Instruments;LM1117MP-5.0;9778209;28X3417;
10;PJ301_THONKICONN6;PJ301_THONKICONN6;WQP_PJ_301M6;J1, J2, J3, J4, J5, J6, J7, J8, J9, J10;;;;;;
1;M05X2SHD;M05X2SHD;2X5-SHROUDED;JP1;Header 5x2;;;;;
1;;WE-CBF_0603;603;L1;SMD EMI Suppression Ferrite Beads;;;;;
2;Wurth 742792664;WE-CBF_0603;603;L5, L6;SMD EMI Suppression Ferrite Beads;;;;;
4;WP937EGW;LED-BICOLOR-SHARED-THROUGHHOLE;LED3MM;LED1, LED2, LED3, LED4;;;;;;
8;100k;R-US_R0603;R0603;R1, R5, R8, R25, R38, R40, R43, R64;RESISTOR, American symbol;;;;;
3;1.0k;R-US_R0603;R0603;R11, R19, R46;RESISTOR, American symbol;;;;;
8;10k;R-US_R0603;R0603;R17, R21, R24, R32, R33, R35, R39, R47;RESISTOR, American symbol;;;;;
4;33k;R-US_R0603;R0603;R18, R22, R26, R34;RESISTOR, American symbol;;;;;
4;20k;R-US_R0603;R0603;R2, R6, R9, R57;RESISTOR, American symbol;;;;;
2;140k;R-US_R0603;R0603;R27, R29;RESISTOR, American symbol;;;;;
4;180;R-US_R0603;R0603;R28, R30, R31, R83;RESISTOR, American symbol;;;;;
4;120k;R-US_R0603;R0603;R3, R7, R10, R70;RESISTOR, American symbol;;;;;
8;10kB;POT_USVERTICAL_PS;ALPS_POT_VERTICAL_PS;R4, R12, R13, R14, R15, R16, R20, R23;;;;;;
2;26k;R-US_R0603;R0603;R41, R44;RESISTOR, American symbol;;;;;
2;;MA03-1;MA03-1;SV1, SV4;PIN HEADER;;;unknown;unknown;48
2;;MA04-1;MA04-1;SV2, SV3;PIN HEADER;;;unknown;unknown;41
3;;TAC_SWITCHPTH;TACTILE-PTH;SW0, SW1, SW2;Momentary Switch;;;;;
1;TeensyAudioShield Rev C.;AUDIOSHIELD;AUDIOSHIELD;U$1;Teensy 3 Audioshield by PJRC.COM;;;;;
1;TEENSY_3.5/3.6_BASIC;TEENSY_3.5/3.6_BASIC;TEENSY_3.5/3.6_BASIC;U$4;;;;;;
